title,price,rating,Brand,Item Weight,Item model number,Manufacturer,Series,Form Factor,Standing screen display size,Screen Resolution,Resolution,Processor Brand,Processor Type,Processor Speed,Processor Socket,Processor Count,RAM Size,Memory Technology,Computer Memory Type,Maximum Memory Supported,Memory Clock Speed,Hard Drive Size,Hard Disk Description,Hard Drive Interface,Hard Disk Rotational Speed,Graphics Coprocessor,Graphics Chipset Brand,Graphics Card Description,Graphics RAM Type,Graphics Card Ram Size,Graphics Card Interface,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Optical Drive Type,Operating System
HP ProDesk 600 G3 Desktop Computer - Intel Core i5 (7th Gen) i5-7500 3.40 GHz - 8 GB DDR4 SDRAM - 500GB HDD - Windows 10 Pro 64-bit - Micro Tower - Jet Black - DVD-Writer,8950.0,3.0,Generic,7 Kilograms,600,Hewlett,HP-600-G3,Tower,7,3840 x 2160,3840x2160,Intel,Core i5,3.4 GHz,LGA 1155,4,8,DDR4,DDR4 SDRAM,64 GB,2400 MHz,500,HDD,Serial ATA,7200,Intel HD Graphics 630,Intel,Dedicated,GDDR5,256 MB,Integrated,4,4,DVD-R,Windows 10 Pro
"Dell OptiPlex 3000 Tower Desktop -12th Intel Core i5-12500 6-Cores, 8GB DDR4 RAM, 512GB PCIe NVMe SSD, Wired Keyboard-KB216 + Optical Mouse-MS116, 8x DVD+/-RW 9.5mm Slimline Optical Disk Drive, UBUNTU",24000.0,5.0,Dell,29.2 x 15.4 x 32.5 cm; 5.17 kg,OPTIPLEX 3000 I5-12500 8G 512G UBU,DELL,OPTIPLEX 3000 I5-12500 8G 512G UBU,red,Tower,3840 x 2160,3840x2160,Intel,Core i5,3 GHz,LGA 2066,6,8 GB,DDR4,DDR4 SDRAM,8 GB,3200 MHz,512 GB,SSD,PCIE x 4,Integrated Graphics,Intel,Integrated,DDR4 SDRAM,Integrated,2,8x DVD+/-RW 9.5mm Slimline Optical Disk Drive,UBUBTU,No,5.17 Kilograms
"Apple 2024 MacBook Pro Laptop with M4 Pro, 12-core CPU, 16-core GPU: Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 24GB Unified Memory, 512GB SSD Storage; Space Black; EN Keyboard",102750.0,4.8,Apple,31.27 x 22.12 x 1.55 cm; 1.6 kg,1 Lithium Ion batteries required. (included),MX2H3LL/A,Apple,MacBook Pro,Space Black,14.2 Inches,Apple,Apple A8,2.8 GHz,12,24 GB,GDDR5,512 GB,SSA,Integrated,Integrated,"802.11ax, Bluetooth",Apple M4 Pro,Mac OS X,Yes,Batteries contained in equipment,6,1.6 Kilograms
Dell Optiplex 5040 Mini Tower Personal Computer with Intel Core i7-6700,9895.0,5.0,Dell,11 g,OPTIPLEX 5040,Dell Computers,Optiplex 5040,Black,Tower,1024x768,1024x768,Intel,Core i7,3.4 GHz,1,8,Shared,8 GB,500 GB,HDD,Serial ATA,Intel HD Graphics,Intel,Integrated,Shared,Integrated,Wi-Fi,DOS
"HP Victus Gaming Laptop 12th Gen Intel 8-Core i5-12450H, 8GB RAM, 512GB SSD, 4GB NVIDIA GeForce RTX 3050, 15.6” FHD (1920 x 1080) 144Hz, Windows 11 Home",32999.0,5.0,HP,25.5 x 35.7 x 2.3 cm; 2.33 kg,15-fa0033dx,HP,Victus Gaming Laptop,Performance blue,LAPTOP,15.6 Inches,1920 x 1080 pixels,1920x1080 Pixels,Intel,Intel Core i5,4.4 GHz,8,8,DDR4,DDR5 RAM,16 GB,3200 MHz,512 GB,"512 GB PCIe NVMe M.2 SSD, SSD",PCIE x 4,Audio by B&O; Dual speakers; HP Audio Boost,NVIDIA GeForce RTX 3050,NVIDIA,Dedicated,GDDR6,4 GB,AGP,MediaTek Wi-Fi 6 MT7921 (2x2) and Bluetooth® 5.3 wireless card (supporting gigabit data rate) Modern Standby (Connected); HP Extended Range Wireless LAN,"802.11ax, Bluetooth",3,1,1,7.4 Volts,Does not include,Windows 11,6 Hours,70 Watt Hours,Batteries contained in equipment,2.33 Kilograms
"Fodenn Mini PC,16GB RAM 512GB M.2 SSD, Windows 11, Intel 12th Alder Lake-N95(up to 3.4GHz), Mini Computers Desktop Support 2.5' SATA/Dual HDMI 4K/ 4 USB 3.2/ WiFi 5/ BT 4/ 1000M LAN for Home Office",18900.0,0.0,Fodenn,11.51 x 10.11 x 4.01 cm; 340 g,F10,Fodenn,Mini PC F10,Black,Small Form Factor,3840 x 2160,3840x2160,Intel,Mobile Intel Celeron Processor,3.4 GHz,BGA 413,1,16 GB,DDR4,DDR4 SDRAM,32 GB,3.4 GHz,512,SSD,eSATA,3500,Basic Speakers,Intel UHD Graphics 600,Intel,Integrated,DDR DRAM,8 GB,Integrated,"2.4 GHz Radio Frequency, 5 GHz Radio Frequency, Bluetooth",4,2,PC,Windows 11 Pro,340 g
"Dell Optiplex 9020 MT N-Series Desktop PC - Intel Core i5, 18.5 Inch Wide LED, 500 GB, 4 GB, DOS",7000.0,3.5,Dell,14 Kilograms,Optiplex 9020 MT N,Dell Computers,Optiplex 9020 MT N,Black,18.5 Inches,1366 x 768,Intel,Core i5,LGA 1155,1,500 GB,DDR3,DDR3 SDRAM,500 GB,SSD,Serial ATA,Intel HD Graphics 2000,Intel,Integrated,DDR3 SDRAM,PCI Express,Wi-Fi,1,DOS
"Apple 2024 MacBook Pro Laptop with M4 Max, 16‑core CPU, 40‑core GPU: Built for Apple Intelligence, 16.2-inch Liquid Retina XDR Display, 48GB Unified Memory, 1TB SSD Storage; Space Black",239999.0,4.8,Apple,35.59 x 24.82 x 1.68 cm; 2.15 kg,1 Lithium Ion batteries required. (included),MX313LL/A,Apple,MX313LL/A,Space Black,16.2 Inches,Apple,Apple A8,2.8 GHz,16,48 GB,DDR4 SDRAM,1 TB,SSD,SSA,Integrated,Integrated,"802.11ax, Bluetooth",Apple M4 Max,Mac OS X,Yes,99.6 Watt Hours,Batteries contained in equipment,6,2.15 Kilograms
"Dell Vostro 3520 Laptop - 12th Intel Core i5-1235U 10-Cores, 8GB RAM, 512GB SSD, Intel UHD Graphics, 15.6"" FHD (1920 x 1080) 120Hz 250 nits Anti-Glare, FingerPrint, Ubuntu - Carbon Black",21749.0,3.2,Dell,49.29 x 27.9 x 7.2 cm; 1.8 kg,1 Lithium Ion batteries required. (included),V3520I1235U8G512G,Dell,Vostro 3520,Carbon Black,Laptop,15.6 Inches,1920 x 1080 pixels,1920x1080 Pixels,Intel,Core i5-1235U,4.4,10,8 GB,DDR4,DDR4 SDRAM,16 GB,512 GB,512GB PCIe NVMe SSD,PCIE x 4,Speakers,Integrated speakers,Intel UHD Graphics,Intel,Integrated,DDR4 SDRAM,Integrated,"802.11ac, Bluetooth wireless card","801.11ac, Bluetooth",1,2,1,1,240 Volts,CD-RW,Ubuntu,Yes,41 Watt Hours,Batteries contained in equipment,1 g,7,3,1.8 Kilograms
Microsoft Windows 10 Pro Computer (2724341667620),699.0,0.0,Microsoft,11 g,syriana.store,Microsoft,Microsoft Windows 10 Pro Computer (,1,DDR4 SDRAM,16GB/20GB HDD,Serial ATA,Integrated Graphics,Dedicated,PCI Express,Wi-Fi,Microsoft Windows,Windows 10 Pro
"HP 15 Laptop - Ryzen 3 3250U, 8 GB RAM, 256 GB PCIe NVMe M.2 SSD, AMD Radeon Graphics, 15.6"" HD (1366 x 768) micro-edge anti-glare 220 nits, Dos - Black",14635.56,3.5,HP,52 x 30.5 x 6.9 cm; 1.74 kg,HP,HP 15 R3 3250 8G 256G,Black,Laptop,15.6 Inches,1366 x 768 pixels,1024x768 Pixels,AMD,Ryzen 3 3250U,2600 MHz,2,16 GB,DDR4,DDR4 SDRAM,8 GB,256 GB,SSD,Headphones,AMD,Integrated,DDR4 SDRAM,Integrated,2,1,DOS,41 Watt Hours,1.74 Kilograms
